"radar_id","PDM","se","radar_id","alpha","se"
"KSOX",129.633064059111,1.93245194629585,"KSOX",0.121122252440969,0.0735521702726902
"KSRX",197.04392625522,1.24304237857572,"KSRX",0.427207635565875,0.0376517097832959
"KTBW",183.5836669195,1.20848512802757,"KTBW",0.41590927831833,0.0373512900988349
"KTFX",150.093778750028,1.13330096803337,"KTFX",0.220301141743831,0.0338090559672455
"KTLH",184.643347771435,1.15342375691594,"KTLH",0.475390715888222,0.0356595077203548
"KTLX",195.453581790763,1.06880324473606,"KTLX",0.467549746869023,0.0325676449506836
"KTWX",180.831827023771,1.10017199521504,"KTWX",0.353548882593307,0.0334352456309018
"KTYX",191.026195775687,1.34469324382456,"KTYX",0.522644280505229,0.0413113471861153
"KUDX",159.887708360006,1.15995156173546,"KUDX",0.250711751749161,0.0361445282063656
"KUEX",181.756566461722,1.06841616115229,"KUEX",0.375333971603802,0.0331104099924963
"KVAX",189.960036457294,1.82927342409301,"KVAX",0.507907651867775,0.057837773441011
"KVBX",167.006858153045,2.19914823911607,"KVBX",0.0385772135417325,0.0771116787769164
"KVNX",188.593817036689,1.238565987092,"KVNX",0.360129401115975,0.0382120195146021
"KVTX",131.675120239714,1.59579271940279,"KVTX",0.0971896697814306,0.0545552067167102
"KVWX",177.384652107498,1.44685831808522,"KVWX",0.401580522634675,0.0436598067310674
"KYUX",142.208760462632,1.2055203368804,"KYUX",0.700333964019861,0.0377082328965978
