x,y,id
-67.71,25.16,NA
-67.41,25.16,NA
-67.11,25.16,NA
-124.71,25.46,NA
-124.41,25.46,NA
-124.11,25.46,NA
-123.81,25.46,NA
-123.51,25.46,NA
-123.21,25.46,NA
-122.91,25.46,NA
-122.61,25.46,NA
-122.31,25.46,NA
-122.01,25.46,NA
-121.71,25.46,NA
-121.41,25.46,NA
-121.11,25.46,NA
-120.81,25.46,NA
-120.51,25.46,NA
-120.21,25.46,NA
-119.91,25.46,NA
-119.61,25.46,NA
-119.31,25.46,NA
-119.01,25.46,NA
-118.71,25.46,NA
-118.41,25.46,NA
-118.11,25.46,NA
-117.81,25.46,NA
-117.51,25.46,NA
-117.21,25.46,NA
-116.91,25.46,NA
-116.61,25.46,NA
-116.31,25.46,NA
-116.01,25.46,NA
-115.71,25.46,NA
-115.41,25.46,NA
-115.11,25.46,NA
-114.81,25.46,NA
-114.51,25.46,NA
-114.21,25.46,NA
-113.91,25.46,NA
-113.61,25.46,NA
-113.31,25.46,NA
-113.01,25.46,NA
-112.71,25.46,NA
-112.41,25.46,NA
-112.11,25.46,19702
-111.81,25.46,19702
-111.51,25.46,19703
-111.21,25.46,19704
-110.91,25.46,19356
-110.61,25.46,NA
-110.31,25.46,NA
-110.01,25.46,NA
-109.71,25.46,NA
-109.41,25.46,20060
-109.11,25.46,19712
-108.81,25.46,19712
-108.51,25.46,19713
-108.21,25.46,19714
-107.91,25.46,19715
-107.61,25.46,19716
-107.31,25.46,19717
-107.01,25.46,19718
-106.71,25.46,19719
-106.41,25.46,19720
-106.11,25.46,19721
-105.81,25.46,19723
-105.51,25.46,19724
-105.21,25.46,19725
-104.91,25.46,19726
-104.61,25.46,19727
-104.31,25.46,19728
-104.01,25.46,19729
-103.71,25.46,19730
-103.41,25.46,19731
-103.11,25.46,19732
-102.81,25.46,19733
-102.51,25.46,19734
-102.21,25.46,19735
-101.91,25.46,19736
-101.61,25.46,19737
-101.31,25.46,19738
-101.01,25.46,19739
-100.71,25.46,19740
-100.41,25.46,20090
-100.11,25.46,20091
-99.81,25.46,20092
-99.51,25.46,20093
-99.21,25.46,20094
-98.91,25.46,20095
-98.61,25.46,20096
-98.31,25.46,20097
-98.01,25.46,20098
-97.71,25.46,20448
-97.41,25.46,20449
-97.11,25.46,20449
-96.81,25.46,NA
-96.51,25.46,NA
-96.21,25.46,NA
-95.91,25.46,NA
-95.61,25.46,NA
-95.31,25.46,NA
-95.01,25.46,NA
-94.71,25.46,NA
-94.41,25.46,NA
-94.11,25.46,NA
-93.81,25.46,NA
-93.51,25.46,NA
-93.21,25.46,NA
-92.91,25.46,NA
-92.61,25.46,NA
-92.31,25.46,NA
-92.01,25.46,NA
-91.71,25.46,NA
-91.41,25.46,NA
-91.11,25.46,NA
-90.81,25.46,NA
-90.51,25.46,NA
-90.21,25.46,NA
-89.91,25.46,NA
-89.61,25.46,NA
-89.31,25.46,NA
-89.01,25.46,NA
-88.71,25.46,NA
-88.41,25.46,NA
-88.11,25.46,NA
-87.81,25.46,NA
-87.51,25.46,NA
-87.21,25.46,NA
-86.91,25.46,NA
-86.61,25.46,NA
-86.31,25.46,NA
-86.01,25.46,NA
-85.71,25.46,NA
-85.41,25.46,NA
-85.11,25.46,NA
-84.81,25.46,NA
-84.51,25.46,NA
-84.21,25.46,NA
-83.91,25.46,NA
-83.61,25.46,NA
-83.31,25.46,NA
-83.01,25.46,NA
-82.71,25.46,NA
-82.41,25.46,NA
-82.11,25.46,NA
-81.81,25.46,NA
-81.51,25.46,NA
-81.21,25.46,25039
-80.91,25.46,25039
-80.61,25.46,25040
-80.31,25.46,25041
-80.01,25.46,25390
-79.71,25.46,NA
-79.41,25.46,NA
-79.11,25.46,NA
-78.81,25.46,NA
-78.51,25.46,NA
-78.21,25.46,NA
-77.91,25.46,NA
-77.61,25.46,NA
-77.31,25.46,NA
-77.01,25.46,NA
-76.71,25.46,NA
-76.41,25.46,NA
-76.11,25.46,NA
-75.81,25.46,NA
-75.51,25.46,NA
-75.21,25.46,NA
-74.91,25.46,NA
-74.61,25.46,NA
-74.31,25.46,NA
-74.01,25.46,NA
-73.71,25.46,NA
-73.41,25.46,NA
-73.11,25.46,NA
-72.81,25.46,NA
-72.51,25.46,NA
-72.21,25.46,NA
-71.91,25.46,NA
-71.61,25.46,NA
-71.31,25.46,NA
-71.01,25.46,NA
-70.71,25.46,NA
-70.41,25.46,NA
-70.11,25.46,NA
-69.81,25.46,NA
-69.51,25.46,NA
-69.21,25.46,NA
-68.91,25.46,NA
-68.61,25.46,NA
-68.31,25.46,NA
-68.01,25.46,NA
-67.71,25.46,NA
-67.41,25.46,NA
-67.11,25.46,NA
-124.71,25.76,NA
-124.41,25.76,NA
-124.11,25.76,NA
-123.81,25.76,NA
